June 20, 2016   16:54:22
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160620\750 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 1e-6

Segment 1:

Segment 2:

Segment 3:
Ep = 0.151V
ip = 1.112e-5A
Ah = 1.080e-4C

Segment 4:

Segment 5:
Ep = 0.153V
ip = 1.094e-5A
Ah = 1.109e-4C

Segment 6:

Current 2:

Segment 1:

Segment 2:

Segment 3:
Segment 4:
Ep = -0.245V
ip = -1.708e-11A
Ah = -1.633e-11C

Segment 5:
Segment 6:

Potential/V	i1/A	i2/A
0.367	2.761e-5	-7.640e-9
0.368	2.755e-5	-7.640e-9
0.369	2.760e-5	-7.637e-9
0.370	2.757e-5	-7.634e-9
0.371	2.757e-5	-7.642e-9
0.372	2.761e-5	-7.635e-9
0.373	2.757e-5	-7.640e-9
0.374	2.758e-5	-7.646e-9
0.375	2.760e-5	-7.641e-9
0.376	2.754e-5	-7.635e-9
0.377	2.759e-5	-7.630e-9
0.378	2.758e-5	-7.641e-9
0.379	2.757e-5	-7.641e-9
0.380	2.762e-5	-7.641e-9
0.381	2.756e-5	-7.645e-9
0.382	2.759e-5	-7.642e-9
0.383	2.762e-5	-7.645e-9
0.384	2.755e-5	-7.642e-9
0.385	2.760e-5	-7.645e-9
0.386	2.760e-5	-7.639e-9
0.387	2.756e-5	-7.638e-9
0.388	2.762e-5	-7.649e-9
0.389	2.757e-5	-7.644e-9
0.390	2.759e-5	-7.639e-9
0.391	2.762e-5	-7.648e-9
0.392	2.757e-5	-7.649e-9
0.393	2.762e-5	-7.649e-9
0.394	2.760e-5	-7.651e-9
0.395	2.759e-5	-7.644e-9
0.396	2.763e-5	-7.643e-9
0.397	2.758e-5	-7.646e-9
0.398	2.761e-5	-7.650e-9
0.399	2.763e-5	-7.644e-9
0.400	2.759e-5	-7.650e-9
0.401	2.763e-5	-7.645e-9
0.402	2.763e-5	-7.650e-9
0.403	2.763e-5	-7.653e-9
0.404	2.767e-5	-7.652e-9
0.405	2.762e-5	-7.653e-9
0.406	2.763e-5	-7.651e-9
0.407	2.768e-5	-7.643e-9
0.408	2.762e-5	-7.645e-9
