movie_name,slice,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
7940,1, 17.2340, 58.9445, 54.4009, 57.9712, 39.1416, 58.2748, 24.0060, 47.2285, 62.5756, 47.4349, 52.8830, 66.2739, 19.3519, 53.5712, 55.6551, 63.3420, 54.0952, 58.2120, 64.6689, 59.6645, 62.5111, 50.3750, 42.4819, 47.3655
7941,1, 28.6125, 43.7097, 29.1986, 22.3097, 21.0694, 27.9158, 29.4524, 27.7204, 32.4289, 13.2507, 33.6557, 42.2058, 12.9642, 21.8903, 27.3836, 40.3881, 44.9912, 25.9598, 61.3967, 41.8900, 50.9039, 31.4092, 10.2764,  5.6347
7941,1, 35.8202, 58.2457, 47.9913, 35.5751, 32.0006, 48.0537, 34.7523, 32.4930, 43.0558, 23.1851, 44.8724, 58.2484, 12.1580, 19.5108, 27.0865, 45.4609, 39.7302, 31.3536, 49.3006, 28.3560, 35.2830, 26.8490, 15.9902,  6.8028
7941,1, 16.0569, 52.1153, 55.2329, 59.5842, 41.0866, 58.1415, 28.8300, 47.0714, 61.4029, 51.2150, 46.8609, 65.8349, 19.1658, 56.5517, 56.8377, 67.7617, 48.8543, 56.8795, 54.6034, 53.3270, 63.6254, 53.2569, 44.8651, 45.0047
7942,1, 32.9443, 56.1512, 25.4980, 17.9085, 16.9691, 29.9743, 34.8145, 25.9774, 33.4111,  9.6725, 36.6486, 48.6352, 12.1925, 19.9562, 20.6687, 48.4358, 39.3301, 20.2455, 62.2530, 42.7058, 41.7634, 25.4560,  6.1596,  3.9155
7942,1, 33.3782, 61.0293, 49.3799, 29.7848, 24.8121, 46.9785, 38.0911, 34.4258, 42.5060, 21.4199, 46.0234, 59.7812, 10.4662, 18.8996, 27.8082, 49.5142, 41.0114, 34.0742, 48.7478, 36.0445, 37.0539, 31.4179, 14.7850,  9.6149
7943,1, 30.0807, 48.0865, 22.0651, 15.0770, 13.9274, 25.6115, 31.2423, 23.0577, 29.3678,  8.5518, 30.2712, 43.0397, 11.6959, 21.0033, 22.0643, 53.1829, 40.9308, 19.3219, 65.1667, 44.8848, 45.3093, 25.8088,  5.7865,  3.7544
7943,1, 29.2971, 62.0557, 44.1179, 30.6766, 25.6558, 47.5176, 33.4330, 35.2660, 44.6808, 21.2906, 47.5389, 65.7274, 11.3311, 18.4083, 26.0905, 40.8327, 40.7598, 30.8533, 53.1793, 30.2383, 39.6788, 28.6165, 12.5161,  8.4386
7944,1, 31.0216, 48.2208, 22.5352, 15.2507, 14.2742, 25.6388, 31.3705, 23.7884, 28.8206,  8.0667, 30.4877, 44.2439, 10.3654, 17.9733, 21.1849, 38.7703, 33.5774, 18.3507, 65.4747, 36.2391, 35.6512, 23.5874,  5.8162,  4.3010
7944,1, 33.7323, 61.1164, 43.5808, 31.4651, 25.8408, 39.4575, 39.9532, 35.4610, 44.3400, 21.9178, 47.9283, 62.2825, 11.4200, 17.7654, 26.9773, 41.1267, 41.3503, 31.1707, 52.5962, 29.8676, 39.7222, 30.7393, 21.6555, 12.7851
7945,1, 28.8668, 47.0378, 23.9493, 17.4721, 18.0093, 26.8614, 34.2781, 23.7747, 31.4550, 11.1930, 32.0018, 47.9975, 12.4148, 18.7824, 19.2904, 51.7278, 39.1788, 21.7437, 61.2229, 43.2145, 47.4163, 28.2608,  9.0585,  6.2563
7945,1, 22.2072, 53.5930, 37.2866, 18.8035, 19.5917, 32.9747, 22.5799, 24.8556, 32.7117, 13.3263, 34.6902, 45.2683, 10.7707, 12.9431, 26.3845, 26.8065, 34.0035, 34.8444, 47.8432, 28.0313, 33.4973, 31.4296, 19.8444, 11.4486
7945,1, 16.9409, 35.7463, 17.8483, 12.4772, 19.3377, 20.8684, 30.2567, 28.4580, 36.4688, 25.6791, 45.3829, 40.6279, 34.6433, 45.8129, 37.6185, 59.2686, 47.1642, 30.0014, 58.4964, 55.7470, 57.7790, 52.5487, 43.0122, 23.8965
7946,1, 28.2250, 40.3545, 25.3717, 19.3446, 18.3501, 30.6699, 29.0866, 25.4259, 30.0454, 12.0302, 40.9547, 51.9265, 11.8207, 19.5385, 21.9729, 56.3320, 44.2888, 24.2449, 61.8978, 41.0053, 50.3080, 30.9203,  8.7046,  5.4385
7946,1, 28.7926, 57.5271, 45.4565, 20.9445, 20.7826, 35.9918, 27.2789, 28.9171, 32.0187, 16.2157, 33.2739, 42.4320, 11.8085, 18.6784, 34.1207, 21.6492, 41.2609, 42.3703, 39.1912, 28.2700, 26.5885, 38.7750, 35.5670, 18.6343
7946,1, 23.5042, 44.7071, 19.7260, 18.1849, 21.7260, 23.7024, 34.8860, 37.2539, 40.3597, 30.8931, 49.1420, 42.8143, 41.8568, 47.6067, 43.7813, 54.7324, 52.8122, 37.7986, 59.6510, 56.4825, 60.5492, 58.4007, 49.1126, 42.8884
7947,1, 32.1947, 56.6732, 25.2087, 17.6399, 18.7018, 32.4065, 35.9296, 27.4393, 35.6745, 10.8285, 39.5394, 48.0887, 11.8360, 21.7318, 22.2277, 55.7107, 42.1441, 22.3503, 63.8180, 45.8692, 50.7029, 29.0830,  7.5175,  4.3997
7947,1, 24.6283, 59.3140, 38.9209, 20.4086, 19.9955, 29.7324, 24.2790, 26.9562, 30.2695, 15.5425, 31.7067, 41.4962, 11.3362, 17.9383, 33.0565, 21.3455, 39.7339, 38.6724, 51.8460, 27.9255, 33.7431, 35.8805, 31.2468, 14.9003
7947,1, 20.7080, 36.5651, 19.9285, 15.7789, 20.0532, 20.0557, 34.2065, 34.1387, 39.8396, 30.6786, 42.8319, 33.8795, 41.8345, 47.3073, 44.4615, 55.5928, 50.6966, 26.7200, 60.2514, 54.3270, 60.3610, 56.8852, 49.4038, 29.5233
