File number,L,a,b
357.0,10.3168432486,0.873762577863,-10.6877677769
358.0,10.2678411078,0.80956430369,-10.3077077264
359.0,10.2726272658,0.507668308068,-10.2275877757
360.0,10.3170217504,0.691344710553,-10.2614062059
361.0,9.65847221358,0.94868727921,-10.1646060159
362.0,6.97421758868,1.21586408883,-7.78142147136
363.0,5.43171118515,1.32707384404,-6.01108487085
364.0,4.48026984091,1.4379394791,-5.22840119643
365.0,3.8930883897,1.48147511775,-4.72522694706
366.0,3.46673649699,1.52422067049,-4.3374046048
367.0,3.25072472824,1.34031916231,-3.82164426756
368.0,3.08745204466,1.35563043092,-3.69433589096
369.0,2.95047214052,1.34491984282,-3.46608774745
370.0,2.80332431759,1.26994785039,-3.36963977891
371.0,2.71192746248,1.25323807026,-3.16649636108
372.0,2.63060230166,1.22838374763,-3.11960599199
373.0,2.56028126132,1.25032130654,-3.07096626215
374.0,2.54422352251,1.17230649594,-2.92106726834
375.0,2.49135413771,1.16457595709,-2.90423767777
376.0,2.45343810264,1.11936855001,-2.78911639186
377.0,2.3967850441,1.15337374672,-2.82758842335
378.0,2.3999728078,1.13570877855,-2.57303903097
379.0,2.36636680445,1.08711532306,-2.6005685159
380.0,2.32603795083,1.14789425679,-2.75064629171
381.0,2.33156262488,1.10432020131,-2.61486594492
382.0,2.33093891796,1.13643344549,-2.64824045759
383.0,2.32393856051,1.03881778971,-2.5212649882
384.0,2.2450360203,1.16048946055,-2.65972133132
385.0,2.24435639262,1.24105981997,-2.6097446162
386.0,2.25712091133,1.06811369441,-2.41941979089
387.0,2.31787662003,0.994482372783,-2.16451717487
388.0,2.22608886328,1.00568554117,-2.43674264454
389.0,2.22619378337,1.17111001307,-2.54997827232
390.0,2.16588909882,1.05315514397,-2.55434728148
391.0,2.2193353949,1.07979070393,-2.39357750726
392.0,2.22765293239,1.07030983006,-2.33996642893
393.0,2.2237569223,1.04138111884,-2.25199043406
394.0,2.19204822863,1.00880789466,-2.28684009629
395.0,2.16662946415,1.06739853568,-2.33607855225
396.0,2.17863779067,1.0437083395,-2.31224578927
397.0,2.206346581,1.03156765354,-2.26187500875
398.0,2.18476289319,1.01760543228,-2.30291661604
399.0,2.18236270131,1.04168290985,-2.23836663555
400.0,2.16242899784,1.07692096999,-2.42903686422
401.0,2.14144165461,0.946951320053,-2.21770042615
402.0,2.1662149058,0.991278426083,-2.26034038636
403.0,2.15732619872,1.11974384269,-2.37217532093
404.0,2.17580972178,0.969936619417,-2.19725183403
405.0,2.12684049142,1.05911172936,-2.28845249385
406.0,2.14340938738,1.04136127485,-2.30931785865
407.0,2.15515636159,1.00130183516,-2.24718177488
408.0,2.14196513264,1.0415265768,-2.24816424531
409.0,2.16224655149,1.03344371378,-2.10868970811
410.0,2.13537820423,1.04292293909,-2.29538414532
411.0,2.11528003175,1.04468521672,-2.27226056529
412.0,2.13829081721,0.989948548917,-2.07911736813
413.0,2.13878511813,0.963269337303,-2.21518942037
414.0,2.11748829055,1.01544590542,-2.27010360211
415.0,2.11985984392,1.06409696088,-2.32130330037
416.0,2.08956986797,0.996792190451,-2.34035049625
417.0,2.10777451461,0.922292832716,-2.13591236179
418.0,2.11572935653,0.960011550132,-2.26504426129
419.0,2.10381127658,1.03863671343,-2.34625802983
420.0,2.12580102272,1.02196164897,-2.24751190253
421.0,2.10888658236,0.961720227921,-2.19899639108
422.0,2.18867637936,0.986053843543,-2.21025560886
423.0,2.20366168748,1.04304634416,-2.55510883972
424.0,2.2928160089,1.0994507002,-2.75852696752
425.0,2.39478220408,1.07846606786,-2.67605020454
426.0,2.51735468281,1.20257385362,-2.8814351801
427.0,2.6811444741,1.24334825727,-3.21077744971
428.0,2.86912671219,1.43049957987,-3.57252036204
429.0,3.08382539142,1.30569020698,-3.73239937992
430.0,3.36395850753,1.43542772118,-4.1500041374
431.0,3.63530363759,1.5134832483,-4.33430483042
432.0,3.96495060523,1.53239480155,-4.80946278211
433.0,4.32413290736,1.53326097513,-5.30051456608
434.0,4.74127042154,1.68409093849,-5.74847647149
435.0,5.21766108976,1.49217873491,-6.00613442097
436.0,5.778359513,1.27661917605,-6.32128135052
437.0,6.10878229301,1.51134078788,-6.8055243691
438.0,6.60800345663,1.27011304056,-7.23792162251
439.0,7.04303159595,0.914828980972,-7.47811075529
440.0,7.37710984362,1.36209266938,-8.0222579833
441.0,7.77012690489,1.24288504055,-8.16459805033
442.0,8.1663393739,0.903305469881,-8.32887299427
443.0,8.42491343499,1.06038862037,-8.84456629454
444.0,8.62961754688,0.722027884386,-8.94179594829
445.0,8.82657318229,1.13591758656,-9.25432532271
446.0,9.11046140615,0.56167628256,-8.7168819642
447.0,9.23334474224,0.706460084592,-9.25674258632
448.0,9.33378222198,0.905471070632,-9.38538384281
449.0,9.41092629909,0.868832851776,-9.64813240949
450.0,9.53621611493,1.06033141819,-9.89132268092
451.0,9.6356881267,0.723444322932,-9.86103512211
452.0,9.67960002592,0.97078669281,-10.031056016
453.0,9.74598414314,1.20237990524,-10.2324079586
454.0,9.85414454463,0.818692310831,-10.0311831247
455.0,9.90662237953,0.887028140369,-9.99190845626
456.0,10.0167888957,0.359706038923,-9.48216994502
457.0,9.97501194376,0.763341153627,-10.1993182431
458.0,10.0345137119,0.756656322441,-9.94473788703
459.0,9.92825062195,1.10782008255,-10.2619907773
460.0,10.0907907586,0.413421311855,-9.9979282838
461.0,10.0786822367,1.00817554778,-10.3850051743
462.0,10.0941847308,0.95562637134,-10.2276553488
463.0,10.1410117553,0.932374916047,-10.0628418625
464.0,10.1259500462,0.91230482925,-10.1895055446
465.0,10.1277469256,1.14005545942,-10.3245501604
466.0,10.1669403442,0.877659884321,-10.5033148899
467.0,10.1722103379,0.673990721151,-10.0009612715
468.0,10.2114359522,0.764717535622,-10.3035827311
469.0,10.2091460036,0.540520638515,-10.0517427242
470.0,10.2075560504,0.886637901498,-10.2967792189
471.0,10.2536456164,0.77392013306,-10.4418472502
472.0,10.2081553522,0.972678992925,-10.6559040849
473.0,10.1931543754,0.991149112528,-10.2211466603
474.0,10.2183720912,0.947017793851,-10.3579291108
475.0,10.2176810987,0.883630709153,-10.6130533386
476.0,10.2233029261,0.708831889944,-10.3188650829
477.0,10.2503087861,1.20284691555,-10.625031144
478.0,10.2935476403,0.804709530044,-10.3444252901
479.0,10.2091510511,0.914238178065,-10.5210532051
480.0,10.3193550063,0.680518746548,-10.3383416449
481.0,8.91253809938,0.847109933413,-9.2344601237
482.0,6.57088769266,1.11852114886,-7.24992413839
483.0,5.15990920256,1.46393885786,-5.91273955629
484.0,4.34352201606,1.33661551597,-5.11283785761
485.0,3.79019316034,1.37213099256,-4.40776844792
486.0,3.4310361431,1.42536540816,-4.16414373479
487.0,3.23003044996,1.35820249605,-3.94922184378
488.0,3.0395698841,1.2972074748,-3.52056832867
489.0,2.90615044027,1.19553312522,-3.39019610915
490.0,2.75930500892,1.20349259824,-3.28791735007
491.0,2.68174810029,1.31317696564,-3.32433540273
492.0,2.62314492099,1.26365708418,-3.17521005918
493.0,2.56881621211,1.1894164673,-3.05687200836
494.0,2.52275059432,1.1644901645,-2.96989592321
495.0,2.54526110272,1.10908772825,-2.62708783782
496.0,2.4710037333,1.21927509738,-2.71284929198
497.0,2.43395850335,1.17403780341,-2.76635431379
498.0,2.41071596197,1.12410616752,-2.66009328834
499.0,2.35071696551,1.025467221,-2.70313230665
500.0,2.32425438067,1.05232147286,-2.64408974528
501.0,2.34977629656,1.11608417858,-2.56712950687
502.0,2.3235817126,1.12887185959,-2.5829260916
503.0,2.3182069845,1.14835536835,-2.51545081933
